id,sentence,verb,xcomp,level,sub
12330,Kuidas ärevusega hakkama saada?,saama,hakkama,kl5,Kuidas ärevusega hakkama saada ?
12375,Minu meelest saite te väga hästi hakkama!,saama,hakkama,kl5,Minu saite te hästi hakkama !
12454,"Me oleme juba piisavalt suured, et ise endaga hakkama saada ja ka õpetajat hoida.",saama,hakkama,kl5,", et ise endaga hakkama saada hoida"
12575,Kuidas ma pealinnas hakkama saan?,saama,hakkama,kl5,Kuidas ma pealinnas hakkama saan ?
12641,Saša tegeleb meil spordiga ning seoses sellega on ta harjunud käima spordilaagrites.,harjuma,käima,kl5,ning sellega on ta harjunud käima
12794,"Natukese aja pärast peangi lõpetama, sest lubasin pool viis Kerli juures olla.",pidama,lõpetama,kl5,aja peangi lõpetama lubasin .
13068,"Nüüd mõelge sellele, milliste kodumasinateta te kodus hakkama saaksite.",saama,hakkama,kl5,kodumasinateta te kodus hakkama saaksite
13244,"Kui näiteks laps on harjunud nägema pilti, kus vanemad tegelevad spordiga ja loevad raamatuid, siis see on tema jaoks elu loomulik osa - sport ja raamatud.",harjuma,nägema,kl5,Kui laps on harjunud nägema
13277,"Kes vette ei hüppa, see ujuma ei õpi.",õppima,ujuma,kl5,hüppa see ujuma ei õpi .
13293,Hakkama saab igaüks!,saama,hakkama,kl5,Hakkama saab igaüks !
13414,Te saate hakkama!,saama,hakkama,kl5,Te saate hakkama !
13534,"Ma loodan, et sa tead ka ise, mida sa nüüd tegema pead.",pidama,tegema,kl5,", mida sa nüüd tegema pead"
13539,"See ei ole karistus, et sa vabandama pead.",pidama,vabandama,kl5,", et sa vabandama pead"
14044,Nimelt meie enda Juhan tahab ka TV Puldis saateid hakata tegema!,tahtma,tegema,kl5,Nimelt meie tahab ka hakata tegema !
14349,"Siis tuli raamatukoguhoidja ja kiitis meid, et olime ise hakkama saanud.",saama,hakkama,kl5,", et olime ise hakkama saanud"
14357,"Just sedasi õpime me tegema vahet, mis on oluline ja mis on ebaoluline.",õppima,tegema,kl5,sedasi õpime me tegema .
14360,Viiendas klassis õpime me referaati kirjutama.,õppima,kirjutama,kl5,klassis õpime me kirjutama .
14362,Mu väike vend alles õpib viisakalt suhtlema.,õppima,suhtlema,kl5,vend alles õpib suhtlema .
15163,Vanaema Mare aitas tal õppida ning koos harjutasid nad luuletusi ilmekalt esitama.,harjutama,esitama,kl5,ning koos harjutasid nad esitama
15748,Millega Niklas tahab tegelema hakata?,tahtma,tegelema,kl6,Millega Niklas tahab tegelema hakata ?
17109,"Tiina, kuidas sa lugema õppisid?",õppima,lugema,kl7,", kuidas sa lugema õppisid"
17177,Vanemad peavadki halva hinde pärast pahandama.,pidama,pahandama,kl7,Vanemad peavadki hinde pahandama .
17361,"Kuidas siis tuletõrjujad kustutama pääseksid, kui uks lukus on?",pääsema,kustutama,kl7,Kuidas siis kustutama pääseksid lukus ?
17674,"Kui juhtud metsas rähni nägema, pane tähele, millisest puust ta eemale hoiab.",juhtuma,nägema,kl7,"Kui juhtud nägema ,"
18584,Õpi söögilauas viisakalt käituma.,õppima,käituma,kl7,Õpi söögilauas käituma .
18585,Õpi vaiksemalt rääkima.,õppima,rääkima,kl7,Õpi vaiksemalt rääkima .
18601,Õpi vaiksemalt rääkima!,õppima,rääkima,kl7,Õpi vaiksemalt rääkima !
20222,"Ahto, mida te tänaseks tegema pidite?",pidama,tegema,kl8,", te tänaseks tegema pidite"
20629,Nendel lastel on suur unistus pääseda esinema laulu- ja tantsupeole.,pääsema,esinema,kl8,pääseda esinema
21985,"Tuleb teada, missugused kalad sobivad oma iseloomu, temperamendi, olme ja haiguste järgi koos elama, missugused mitte.",sobima,elama,kl9,kalad sobivad iseloomu elama
21992,"Et ulatuda akvaariumi põhja puhastama, ei tohiks see olla sügavam kui teie käe pikkus.",ulatuma,puhastama,kl9,"Et ulatuda puhastama ,"
22264,"Sageli õpib ta klaverit, kitarri, viiulit või mõnd teist pilli mängima.",õppima,mängima,kl9,Sageli õpib ta mängima .
22282,Nii ma siis mõtlesingi - õpiks õige õmblema!,õppima,õmblema,kl9,- õpiks õmblema
23260,Mis päevaks ma need tagasisõidupiletid ostma pidingi?,pidama,ostma,kl9,päevaks ma ostma pidingi ?
24012,Kohe alguses tuleb õppida rääkima ilma vigadeta.,õppima,rääkima,gümn,õppida rääkima
24013,"Kõige kiiremini õpid rääkima, suheldes emakeelsete inimestega.",õppima,rääkima,gümn,kiiremini õpid rääkima suheldes .
24029,Vahetusaasta lõpus kippus Henri juba veidi eesti keelt unustama.,kippuma,unustama,gümn,lõpus kippus Henri unustama .
24118,Tänu nendele sõitudele õppisin ma oma klassi- ja koolikaaslasi lähemalt tundma ja püüdsin nendega igasugustel teemadel suhelda.,õppima,tundma,gümn,sõitudele õppisin ma tundma püüdsin .
24137,"Peaasi on see, kui ise püüad ja siis tulebki kõik välja, saadki hakkama.",saama,hakkama,gümn,", saadki hakkama"
24229,"Olen üldiselt õppimisega väga laisk inimene, kuid saan enda koolitöödega hakkama.",saama,hakkama,gümn,", kuid saan enda koolitöödega hakkama"
25044,Sest no nendest kiputakse halvasti rääkima.,kippuma,rääkima,gümn,Sest no nendest kiputakse rääkima .
25579,Püüa sissejuhatus teha lugema kutsuv ja teema juurde juhatav.,tegema,lugema,gümn,sissejuhatus teha lugema
26079,"Igas keeles on selliseid sõnu, mis kipuvad omavahel segi minema.",kippuma,minema,gümn,", mis kipuvad minema"
26604,Õpilased niisama lihtsalt klassipäeviku hindeid arvutivõrgus kohendama ei pääse.,pääsema,kohendama,gümn,Õpilased lihtsalt kohendama ei pääse .
27084,"Järelikult on teleri vaatamine midagi niisugust, mis millegipärast kipub loovust vähendama.",kippuma,vähendama,gümn,", mis millegipärast kipub vähendama"
27554,"Te olete tugev küllalt, et üksi elus hakkama saada.",saama,hakkama,gümn,", et üksi elus hakkama saada"
27832,"Nende ja turistide hulgast sätib igal kella- ja aastaajal mõni vaatama, kuidas Tammsaarel läheb või mis kuju see niisugune on.",sättima,vaatama,gümn,Nende sätib kella- vaatama .
28017,"Tekib tüli, mis kipub süvenema, ja laps kujuneb omasuguste hulgas tõrjutuks: keegi ei taha temaga mängida ega rääkida, keegi ei kutsu teda kuhugi.",kippuma,süvenema,gümn,", mis kipub süvenema"
28085,Olete harjunud nägema maailma mustades toonides.,harjuma,nägema,gümn,Olete harjunud nägema .
28225,"Kui peremees juhtub surema, ei ela ka koer enam kaua.",juhtuma,surema,gümn,"Kui peremees juhtub surema ,"
28253,Koer harjub ka üksinda olema.,harjuma,olema,gümn,Koer harjub ka üksinda olema .
