lemma
aasta
aastajagu
aastakümme
aastatäis
ahel
ahjutäis
alamhulk
ampull
annus
armee
arv
auditooriumitäis
aulatäis
autokastitäis
autokoorem
autotäis
bait
barrel
bitt
brigaad
bussitäis
dessertlusikatäis
diviis
dollar
doos
eksemplar
enamik
enamus
euro
filmitäis
galerii
gallon
gramm
grupp
haarem
haaremitäis
hangutäis
hargitäis
hektar
hetk
hobuseannus
hulk
hunnik
hunnikutäis
ivake
jaamatäis
jagu
jalatäis
jalg
jupike
jupp
jõuk
järjekord
järk
jüaan
kaaluühik
kaarikutäis
kaenlatäis
kamakas
kamalutäis
kamp
kann
kannikas
kannutäis
kantmeeter
kapatäis
kapitäis
kapsel
karbitäis
kari
karikas
karp
kassitäis
kast
kastitäis
kategooria
katelokitäis
katseklaasike
kausike
kausitäis
kauss
kaustatäis
kellajagu
kiht
kild
kilekott
killuke
kilo
kilogramm
kilomeeter
kilovatt-tund
kilumannergutäis
kimbuke
kimp
kirikutäis
kirst
klaas
klaasike
klaasitäis
klass
klassitäis
kobar
kogu
kogum
kogumik
kogumikutäis
kogus
kollektsioon
komando
kompleks
komplekt
komplett
konteiner
kontingent
koorem
koormatäis
kopikas
koplitäis
koppel
kopsik
kopsikutäis
kord
korv
korvitäis
korvpudel
kotike
kotitäis
kott
kraad
kriips
kristallpitsike
kroon
kruugitäis
kruus
kruusitäis
kröömike
kuhi
kuhil
kuhjake
kukenokatäis
kulbitäis
kuu
kuubik
kuupmeeter
kõhutäis
kämp
käntsakas
käputäis
kärakas
käsivarretäis
käär
köide
kübe
kübeke
kübekene
kübemeke
külatäis
küünar
laar
labidatäis
laevatäis
lahmakas
laik
lapike
lapikpudelike
lapp
lastekodutäis
lasu
laviin
leegion
leheke
lehekene
lehekülg
leheküljetäis
lehetäis
leht
liik
liinimeeter
liiter
lisakogus
lisaprotsent
loetelu
lonks
lonksuke
loomühik
lusikaotsatäis
lusikas
lusikatäis
lõik
lõviosa
lüpsikutäis
maa
mahv
majatäis
maksimum
maksimumarv
mannergutäis
mark
mass
meeter
megabait
megavatt
megavatt-tund
megen
metsatäis
miil
mikrogramm
milliliiter
millimeeter
minut
mool
mudel
murdosa
mõõt
nael
natuke
nimetus
nott
number
nutsakas
nädal
nädalajagu
nädalake
nädalapäev
nädalatund
näpuotsatäis
näputäis
osa
paagitäis
paar
pahmakas
pahvak
pahvakas
pajatäis
pakike
pakk
pang
pangetäis
pappkarbitäis
partii
parv
parvetäis
patakas
peaotäis
peatäis
peeker
peenratäis
penn
peotäis
pesakond
pihutäis
piisake
piisk
pint
pinu
pisku
pits
pitsike
plaaditäis
plasku
plejaad
plokk
plärts
pläsku
pokaal
poogen
ports
portsjon
posu
potitäis
pott
promill
protsent
pudel
pudelitäis
puhk
puhmak
puhmas
pundar
punkt
punnsuutäis
punt
purgitäis
purk
puud
põhiosa
põlletäis
põlv
põlvkond
päev
päts
raamatuke
raamatutäis
raas
raasuke
rahaühik
reekoorem
rekordarv
rekordhulk
rest
riba
ribake
rida
riidatäis
riiul
riiulijagu
ring
rivi
rodu
rubla
rull
rullike
ruutmeeter
ruutmiil
ruutmillimeeter
rühm
rüüp
saadetis
saalitäis
sakvuajaažitäis
salk
salkkond
sammuke
sari
seekel
seeria
segment
sekund
seljakotitäis
seljatäis
semester
sent
sentimeeter
serveering
silmapesukausitäis
sips
sirts
sort
sorts
staadionitäis
summ
summa
supilusikatäis
suraka
suts
sutsuke
suutäis
sõna
sõnaraamatutäis
sõõm
säilitusühik
süld
sülem
sületäis
tagavara
tahvel
taldrikutäis
tass
tassike
tassitäis
teeklaas
teeklaasitäis
teelusikatäis
tera
terabait
terake
termosetäis
tiba
tihu
tihumeeter
tilgake
tilk
tinks
tirts
toatäis
toimik
tonn
toobitäis
toop
toos
topeltannus
topeltports
topka
tops
topsike
tribüünitäis
trobikond
tsisternitäis
tulp
tund
tunnijagu
tunnike
tunnikene
tutt
tuust
tõug
tähemärk
täis
täiskomplekt
täismaja
tänavatäis
törts
tükike
tükk
tükktükk
tünnitäis
tüüp
vaagen
vaat
vagu
vagunitäis
vahemik
vakamaa
vaks
valangutäis
valik
valimik
vankrikoorem
vardatäis
veidike
veoautokoorem
veoautotäis
verst
viil
viilakas
viiv
viivuke
virveke
võrgutäis
väheke
väljakutäis
ämber
ämbritäis
ööpäev
ühik
