id,sentence,verb,xcomp,level,sub
15740,"Hetkel ei käi, aga ma tahan hakata veel klaverit õppima.",tahtma,hakkama,kl6,", aga ma tahan hakata"
15748,Millega Niklas tahab tegelema hakata?,tahtma,hakkama,kl6,Millega Niklas tahab tegelema hakata ?
16036,Tal oli kõht väga tühi ning ta otsustas koolikohvikusse minna ja midagi süüa.,otsustama,minema,kl6,ning ta otsustas minna
16045,"Anett otsustas kooli kõrval asuvasse kommipoodi minna ja vaadata, mis seal head on.",otsustama,minema,kl6,Anett otsustas minna .
16062,"Seal oli veel komme, kuid Anett ei jõudnud enam süüa.",jõudma,sööma,kl6,", kuid Anett ei jõudnud enam süüa"
16070,Meil on koolis eesti keele tunnis kommipoe teema ning me otsustasime teooria muuta praktikaks !,otsustama,muutma,kl6,ning me otsustasime muuta
16075,Kuhu otsustas Anett pärast tunde minna?,otsustama,minema,kl6,Kuhu otsustas minna ?
16081,Miks otsustas Anett kõigepealt magusat süüa?,otsustama,sööma,kl6,Miks otsustas süüa ?
16104,Kas sa soovid midagi juua?,soovima,jooma,kl6,Kas sa soovid juua ?
16136,Kas te midagi juua ka soovite?,soovima,jooma,kl6,Kas te juua ka soovite ?
16157,Kas te midagi juua ka soovite?,soovima,jooma,kl6,Kas te juua ka soovite ?
16202,Mida lapsed otsustasid teha?,otsustama,tegema,kl6,lapsed otsustasid teha ?
16203,Miks lapsed tahtsid pannkooke teha?,tahtma,tegema,kl6,Miks lapsed tahtsid teha ?
16224,Ma tahan sinu kõrval istuda.,tahtma,istuma,kl6,Ma tahan istuda .
16323,Enne ﬁlmi algust otsustasid nad omavahel kohad vahetada.,otsustama,vahetama,kl6,algust otsustasid nad vahetada .
16403,Ma tahaksin süüa.,tahtma,sööma,kl6,Ma tahaksin süüa .
16405,Paljud inimesed armastavad kinos käia ja filme vaadata.,armastama,käima,kl6,inimesed armastavad käia .
16415,Kes armastavad kinos käia?,armastama,käima,kl6,Kes armastavad käia ?
16429,"Missugune tegelane on aeg, kui ta oskab nii minna, seista, tulla, joosta kui ka lennata?",oskama,minema,kl6,", kui ta oskab minna"
16443,Mida oskab aeg teha eesti keeles?,oskama,tegema,kl6,oskab teha ?
16447,"Kas sa oskad nimetada Inglismaa, Rootsi, Saksamaa ja Soome pealinna?",oskama,nimetama,kl6,Kas sa oskad nimetada ?
16689,Ta on väsinud ning tahaks puhkama hakata.,tahtma,hakkama,kl6,ning tahaks hakata
16921,Proovi kokku hammustada.,proovima,hammustama,kl6,Proovi hammustada .
16938,Eestlased armastavad ju väga laulda.,armastama,laulma,kl6,Eestlased armastavad ju laulda .
16940,Kas sina oskad laulda või tegeled laulmisega?,oskama,laulma,kl6,Kas sina oskad laulda ?
16985,"Tahan sinult küsida, kas sul on kodus mingeid kohustusi.",tahtma,küsima,kl6,Tahan küsida .
17005,"Eile jooksis üks meie kooli õpilane punase tulega üle tee, sest ta tahtis bussi peale jõuda.",tahtma,jõudma,kl6,", sest ta tahtis jõuda"
17051,Varakevadel armastan ma kalal käia ja linnulaulu kuulata.,armastama,käima,kl6,Varakevadel armastan ma käia .
17119,"Kui kooli läksin, oskasin juba hästi lugeda.",oskama,lugema,kl7,läksin oskasin lugeda .
17125,"Mäletan, et tahtsin siis kangesti kõigile näidata, et oskan juba lugeda ja püüdsin teistele kogu aeg midagi ette lugeda.",tahtma,näitama,kl7,", et tahtsin siis näidata oskan"
17125,"Mäletan, et tahtsin siis kangesti kõigile näidata, et oskan juba lugeda ja püüdsin teistele kogu aeg midagi ette lugeda.",oskama,lugema,kl7,", et oskan lugeda püüdsin"
17125,"Mäletan, et tahtsin siis kangesti kõigile näidata, et oskan juba lugeda ja püüdsin teistele kogu aeg midagi ette lugeda.",püüdma,lugema,kl7,ja püüdsin lugeda
17133,Kui vanalt oskasid sa oma nime kirjutada?,oskama,kirjutama,kl7,Kui vanalt oskasid sa kirjutada ?
17134,"Kui lasteaeda läksin, oskasin juba trükitähtedega oma nime joonistatud piltide alla kirjutada.",oskama,kirjutama,kl7,läksin oskasin kirjutada .
17135,"Kui aga kooli läksin, oskasin nime kirjutada ka kirjatähtedega.",oskama,kirjutama,kl7,läksin oskasin kirjutada .
17162,Hoolsusehindeks loodan saada vähemalt rahuldava.,lootma,saama,kl7,Hoolsusehindeks loodan saada .
17169,Millal mina siin rääkida olen saanud?,saama,rääkima,kl7,Millal mina rääkida olen saanud ?
17184,Õpetaja lubas homme tunnikontrolli teha.,lubama,tegema,kl7,Õpetaja lubas homme teha .
17186,Sa lihtsalt ei oska õppida.,oskama,õppima,kl7,Sa lihtsalt ei oska õppida .
