id,sentence,verb,xcomp,form,level,sub
4918,Paneb ennast maksma teadmiste ja vaimsete võimete kaudu.,panema,maksma,maksma,gümn,Paneb maksma .
8887,Ta kutsus mind parki lumelinna ehitama ja lumesõda mängima.,kutsuma,ehitama,ehitama,kl3,Ta kutsus mind ehitama .
10317,Pane tuli põlema!,panema,põlema,põlema,kl4,Pane tuli põlema !
10357,Kustuta klassis tuli ja pane kohe põlema!,panema,põlema,põlema,kl4,ja pane kohe põlema
10386,Pane tuli põlema!,panema,põlema,põlema,kl4,Pane tuli põlema !
11129,Õpetaja kutsus minu pinginaabri Hannese vastama.,kutsuma,vastama,vastama,kl4,Õpetaja kutsus pinginaabri vastama .
11136,Õpetaja kutsus jälle minu pinginaabri Hannese vastama.,kutsuma,vastama,vastama,kl4,Õpetaja kutsus jälle vastama .
11271,Õpetaja pani ta Remo kõrvale istuma.,panema,istuma,istuma,kl4,Õpetaja pani ta Remo istuma .
11523,"Asi on selles, et Siret kutsus mind pannkooke sööma.",kutsuma,sööma,sööma,kl4,", et Siret kutsus mind sööma"
11989,"Ometi olen ka kuulnud seda, et unistamine on vajalik ning aitab näha eesmärke ja paneb meid nende nimel tööd tegema.",panema,tegema,tegema,kl5,ja paneb meid tegema
12330,Kuidas ärevusega hakkama saada?,saama,hakkama,hakkama,kl5,Kuidas ärevusega hakkama saada ?
12375,Minu meelest saite te väga hästi hakkama!,saama,hakkama,hakkama,kl5,Minu saite te hästi hakkama !
12384,"Minu meelest oli naljakas, kuidas Kaarel kutsus presidenti kõnet pidama!",kutsuma,pidama,pidama,kl5,", kuidas Kaarel kutsus pidama"
12407,Kaarel kutsus Eesti vabariigi peaministrit kõnet pidama.,kutsuma,pidama,pidama,kl5,Kaarel kutsus peaministrit pidama .
12421,"Kõik sai alguse matemaatikatunnist, kui õpetaja palus Liisil vastama tulla.",paluma,vastama,vastama,kl5,", kui õpetaja palus vastama tulla"
12454,"Me oleme juba piisavalt suured, et ise endaga hakkama saada ja ka õpetajat hoida.",saama,hakkama,hakkama,kl5,", et ise endaga hakkama saada hoida"
12575,Kuidas ma pealinnas hakkama saan?,saama,hakkama,hakkama,kl5,Kuidas ma pealinnas hakkama saan ?
12577,Kuidas nad mu võõrasse peresse elama saadavad?,saatma,elama,elama,kl5,Kuidas nad elama saadavad ?
12793,Tema tegeleb vehklemisega ja täna kutsus ta mind oma võistlust vaatama.,kutsuma,vaatama,vaatama,kl5,ja täna kutsus ta mind vaatama
12923,Mis pani Sašat koolis imestama?,panema,imestama,imestama,kl5,Mis pani Sašat imestama ?
12935,"Näiteks võib raamatust lugeda, mis juhtub siis, kui paned hiire purki elama.",panema,elama,elama,kl5,", kui paned elama"
13040,Ma panen musta pesu pesumasinasse ning panen hiljem puhta pesu pesurestile kuivama.,panema,kuivama,kuivama,kl5,ning panen hiljem pesu pesurestile kuivama
13068,"Nüüd mõelge sellele, milliste kodumasinateta te kodus hakkama saaksite.",saama,hakkama,hakkama,kl5,kodumasinateta te hakkama saaksite
13293,Hakkama saab igaüks!,saama,hakkama,Hakkama,kl5,Hakkama saab igaüks !
13414,Te saate hakkama!,saama,hakkama,hakkama,kl5,Te saate hakkama !
14001,Ema paneb vahel õhtul raadio mängima.,panema,mängima,mängima,kl5,Ema paneb vahel õhtul mängima .
14022,Mul oli juba õige video üles otsitud ning nüüd panin selle mängima.,panema,mängima,mängima,kl5,ning nüüd panin mängima
14044,Nimelt meie enda Juhan tahab ka TV Puldis saateid hakata tegema!,tahtma,tegema,tegema,kl5,Nimelt Juhan tahab ka hakata tegema !
14349,"Siis tuli raamatukoguhoidja ja kiitis meid, et olime ise hakkama saanud.",saama,hakkama,hakkama,kl5,", et olime ise hakkama saanud"
14630,Kutsuge teine keelerühm või klass või sõbrad oma koomikseid vaatama ning vajadusel rääkige neile loetud katkenditest.,kutsuma,vaatama,vaatama,kl5,Kutsuge keelerühm vaatama rääkige .
15163,Vanaema Mare aitas tal õppida ning koos harjutasid nad luuletusi ilmekalt esitama.,harjutama,esitama,esitama,kl5,ning koos harjutasid nad esitama
15748,Millega Niklas tahab tegelema hakata?,tahtma,tegelema,tegelema,kl6,Niklas tahab tegelema hakata ?
16381,"Kuid mina ei saaks nii teha sellepärast, et järgmisel päeval kutsuks õpetaja mind kindlasti vastama ja ma saaksin kahe.",kutsuma,vastama,vastama,kl6,", et päeval kutsuks õpetaja vastama saaksin"
17345,"Sa tead, et Heino sai uue jalgratta ja kutsud teda sõitma.",kutsuma,sõitma,sõitma,kl7,ja kutsud sõitma
17457,"Kirjelda õnnetust või ohtu, mis sind helistama sundis.",sundima,helistama,helistama,kl7,", mis sind helistama sundis"
17721,"Ärge unustage nimetamast, kes olid autorid, toimetaja, illustreerija.",unustama,nimetama,nimetamast,kl7,Ärge unustage nimetamast .
18235,Tuleb minema visata.,viskama,minema,minema,kl7,minema visata
18406,"Mis võluvägi see küll on, mis paneb noori mitte ainult diskoõhtul tantsima, vaid ka koolivõimlas rahvatantsusamme harjutama?",panema,tantsima,tantsima,kl7,", mis paneb noori tantsima harjutama"
19980,Ära aja mind naerma!,ajama,naerma,naerma,kl8,Ära aja mind naerma !
19981,"Ma ei saa aru, mis sind naerma ajab.",ajama,naerma,naerma,kl8,", mis sind naerma ajab"
20115,Kutsume vaatama ka filmi- ja teatrinukkude näitust.,kutsuma,vaatama,vaatama,kl8,Kutsume vaatama .
20822,"Aga siis pandi mind jalgadega pori sees kõndima, kuna olin liiga puhas!",panema,kõndima,kõndima,kl8,Aga siis pandi mind jalgadega pori kõndima puhas !
21306,"Kui algab esimene advent, siis paneme alati ühe küünla põlema.",panema,põlema,põlema,kl8,algab siis paneme alati küünla põlema .
21308,Aga miks ei panda kohe nelja küünalt põlema?,panema,põlema,põlema,kl8,Aga miks ei panda kohe põlema ?
21496,Ootan kõiki 10.–12. klassis käivaid või 16–19-aastaseid noori Eesti 100. sünnipäeva puhul kaasa mõtlema ja Eestile sünnipäevakõnet kirjutama.,ootama,mõtlema,mõtlema,kl8,Ootan mõtlema .
21500,"Loodan, et Teil on võimalik kõnevõistluse infot oma kooli õpilastele edastada ning kutsuda neid üles Eestile kirjutama.",kutsuma,kirjutama,kirjutama,kl8,ning kutsuda kirjutama
21954,Kas reklaam innustas teid ostu tegema?,innustama,tegema,tegema,kl9,Kas reklaam innustas teid tegema ?
21976,"Mina viskasin kõik minema - pihvid, tefloni ja panni.",viskama,minema,minema,kl9,Mina viskasin kõik minema pihvid .
22196,"Ning kassi ei aja sa ka kunagi klaveri pealt maha, kui see on end siia magama seadnud.",seadma,magama,magama,kl9,", kui see on end siia magama seadnud"
22346,"Olime just mängu võitmas, kui kohtunik meie parima mängija platsilt minema saatis.",saatma,minema,minema,kl9,", kui kohtunik mängija minema saatis"
22347,"Olime just klassist väljumas, kui fotograaf meid pildistama kutsus.",kutsuma,pildistama,pildistama,kl9,", kui fotograaf pildistama kutsus"
22447,"Talukohta meelitas teda ostma see, et talumaad asusid looduskaunis kohas: siin oli palju metsa, ilus veerohke jõgi, rohkesti aasaheinamaad.",meelitama,ostma,ostma,kl9,Talukohta meelitas ostma see .
22450,"Oma kõnedeski õpetas Jakobson põllumehi hindama maa harimist ja väetamist, põlluheina kasvatamist, korralike õhurikaste lautade ehitamist, tõukarja ja mesilaste pidamist, juustu valmistamist, aiandust.",õpetama,hindama,hindama,kl9,kõnedeski õpetas Jakobson hindama .
22672,"Mäletad, kui vanaema sind ja naabripoissi ühel suvel kummeleid korjama saatis ning te tulite tagasi karikakraõitega?",saatma,korjama,korjama,kl9,", kui vanaema suvel korjama saatis tulite"
23476,"Anna andeks, unustasin leiva ostmata.",unustama,ostma,ostmata,kl9,", unustasin ostmata"
23509,"Aga näete, platsil seab end esinema üks folklooriansambel.",seadma,esinema,esinema,kl9,", platsil seab esinema folklooriansambel"
23538,"Ehitusmeister arvas, et targem oleks ehitada all-linna, sest Toompeal oleks tornitipp kogu aeg pilvedes ja välk võiks selle põlema panna.",panema,põlema,põlema,kl9,ja välk võiks selle põlema panna
23649,"Ega sa pole unustanud, et oleme laupäeval kutsutud vanaema juurde aiapeole tema pensionilejäämist tähistama?",kutsuma,tähistama,tähistama,kl9,", et oleme laupäeval kutsutud vanaema tähistama"
24137,"Peaasi on see, kui ise püüad ja siis tulebki kõik välja, saadki hakkama.",saama,hakkama,hakkama,gümn,", saadki hakkama"
24202,"Kirjuta, mis motiveeris sind osalema Eestisiseses õpilasvahetuses, mida soovid õpilasvahetusega kogeda ning kuidas sind arendab.",motiveerima,osalema,osalema,gümn,", mis motiveeris osalema"
24229,"Olen üldiselt õppimisega väga laisk inimene, kuid saan enda koolitöödega hakkama.",saama,hakkama,hakkama,gümn,", kuid saan koolitöödega hakkama"
24449,"See paneb ka noori rohkem mõtlema, kas ja mida tuleks muuta.",panema,mõtlema,mõtlema,gümn,See paneb mõtlema .
24769,Millele pani see sari sind mõtlema?,panema,mõtlema,mõtlema,gümn,Millele pani sari mõtlema ?
24792,Film paneb Johannesele tõeliselt kaasa elama (ja ka kaasa tundma).,panema,elama,elama,gümn,Film paneb Johannesele elama tundma .
25136,"Kui nad kõik nii lahked olid seal nendes islamiriikides sinu vastu, siis tõenäoliselt, kui nad kutsusid tuppa sööma, siis seal sulle võidi sulle pakkuda ka toite, millega sa harjunud ei ole või mida sa esimest korda elus näed ja mis ei ole võib-olla maailma kõige parem maitseelamus.",kutsuma,sööma,sööma,gümn,", kui nad kutsusid sööma ,"
25318,"Tasub vältida küsimusi, mis panevad vastaja end ebamugavalt tundma.",panema,tundma,tundma,gümn,", mis panevad vastaja tundma"
25456,Õpetajad peaksid julgustama noori ette võtma erinevaid projekte ja meeskonnatöid.,julgustama,võtma,võtma,gümn,Õpetajad peaksid julgustama võtma .
25563,Jäta mustand mõneks ajaks seisma.,jätma,seisma,seisma,gümn,Jäta mustand ajaks seisma .
25579,Püüa sissejuhatus teha lugema kutsuv ja teema juurde juhatav.,tegema,lugema,lugema,gümn,sissejuhatus teha lugema
25625,"Mänguline sisu, kaasahaaravad seiklused, uskumatud olendid ja erakordsed tegelased lausa kisuvad seda filmi vaatama.",kiskuma,vaatama,vaatama,gümn,sisu lausa kisuvad vaatama .
25682,"Mind paneb pead vangutama, kui mõtlen nõukogudeaegsele tsensuurile.",panema,vangutama,vangutama,gümn,Mind paneb vangutama mõtlen .
25911,Kirjutame Teile Narva Pähklimäe gümnaasiumist ja sooviksime kutsuda Teid meie kooli filmiõhtule esinema.,kutsuma,esinema,esinema,gümn,kutsuda Teid esinema
25918,"See oli samal ajal lõbus ja hingeliigutav, pani nii kaasa mõtlema kui ka naerma ja nutma.",panema,mõtlema,mõtlema,gümn,", pani mõtlema"
25966,"Samas annab ajakirjanik teadlikult või alateadlikult siiski sündmusele omapoolse hinnangu sellega, kellelt ta küsib kommentaari, millise pildi paneb uudist illustreerima ja milliseid sõnu kasutab tegelaste ja olukordade kirjeldamiseks.",panema,illustreerima,illustreerima,gümn,pildi paneb illustreerima kasutab
26155,"Enneolematult kõrge lumi hoiab jahimehed eemale, mistõttu sel hooajal on lubatud 173 asemel lastud vaid 80 looma.",laskma,looma,looma,gümn,173 lastud looma
26188,"Kas Eesti peaks tegema rohkem reklaami, et kutsuda välisturiste meie metsadesse hunte vaatlema?",kutsuma,vaatlema,vaatlema,gümn,", et kutsuda välisturiste vaatlema"
26216,"Ühiskondlikult oluliste teemade arutamiseks korraldatakse sageli teledebatte, millesse kutsutakse esinema eri huvirühmade esindajaid, kes saavad saates arvamust avaldada ja omavahel diskuteerida.",kutsuma,esinema,esinema,gümn,", millesse kutsutakse esinema"
26374,Mis sind kõige enam sunnib õppima?,sundima,õppima,õppima,gümn,Mis enam sunnib õppima ?
26377,Kõige enam paneb õppima huvi aine vastu.,panema,õppima,õppima,gümn,enam paneb õppima .
26411,Julgusta teisi endast kõnelema.,julgustama,kõnelema,kõnelema,gümn,Julgusta teisi kõnelema .
26451,Õpilasomavalitsustes võiks midagi koolisiseselt liikuma panna.,panema,liikuma,liikuma,gümn,Õpilasomavalitsustes võiks midagi koolisiseselt liikuma panna .
26458,See paneks ju õppima!,panema,õppima,õppima,gümn,See paneks ju õppima !
26467,"Pargis oli meie pallimängu plats, võimlemise väljak ja mis kõige tähtsam: siin oli palju salapäraseid paiku, mis lausa kutsusid peitust mängima.",kutsuma,mängima,mängima,gümn,", mis lausa kutsusid mängima"
26661,"Muutunud on vahest see, et nurka ei panda enam seisma.",panema,seisma,seisma,gümn,", et nurka ei panda enam seisma"
26706,Millal te panete televiisori mängima?,panema,mängima,mängima,gümn,Millal te panete mängima ?
26728,Milliseid artikleid te ei jäta kunagi lugemata?,jätma,lugema,lugemata,gümn,artikleid te ei jäta lugemata ?
26856,"Hommikul, kui ärkan, panen kõigepealt mängima raadio.",panema,mängima,mängima,gümn,Hommikul ärkan panen kõigepealt mängima .
27041,Kutsuge oma sõpra raadiot kuulama.,kutsuma,kuulama,kuulama,gümn,Kutsuge sõpra kuulama .
27137,"Karta on, et Eesti majandus Reeta siiski endale ei saa, sest milline juht on nii rumal, et televaatajate lemmiku minema laseks!",laskma,minema,minema,gümn,", et lemmiku minema laseks"
27187,"Et pikk lossimisaeg igavaks ei läheks, viidi meid ühel ennelõunal bussiga mõnikümmend kilomeetrit linnast välja, ehtsasse džunglimiljöösse lõunamaa taimi ja ahve vaatama.",viima,vaatama,vaatama,gümn,läheks viidi meid ennelõunal bussiga kilomeetrit linnast välja vaatama .
27289,"Ärge unustage kirjutamast, mida soovivad teie väikesed õed, vennad, sõbrad.",unustama,kirjutama,kirjutamast,gümn,Ärge unustage kirjutamast .
27307,"Võime õmmelda või kududa päkapikke ja panna neid istuma riiulitele, aknalauale jm.",panema,istuma,istuma,gümn,ja panna neid istuma
27358,"Juba novembrikuu lõpus ilmuvad kaupluste vaateakendele jõuluvanad, jõulukingid, jõuluehted, mis lausa kutsuvad ostma.",kutsuma,ostma,ostma,gümn,", mis lausa kutsuvad ostma"
27378,"Teatrimaailm erineb tavalisest maailmast selle poolest, et ta mitte ainult ei anna elamusi, vaid paneb ka mõtlema.",panema,mõtlema,mõtlema,gümn,", vaid paneb mõtlema"
27392,Teater paneb inimese mõtlema.,panema,mõtlema,mõtlema,gümn,Teater paneb mõtlema .
27554,"Te olete tugev küllalt, et üksi elus hakkama saada.",saama,hakkama,hakkama,gümn,", et üksi elus hakkama saada"
27651,Muusika kuulamiseks katsu end võimalikult mugavalt istuma seada.,seadma,istuma,istuma,gümn,end istuma seada
27669,"Tema siirad silmad, vaba lavakäitumine, emotsionaalsus ja muidugi hea muusika panevad kaasa elama ka kõige tuimema kuulaja.",panema,elama,elama,gümn,silmad panevad elama .
27754,"Lugege teksti sellest, kuidas Jaapanis õpetatakse mõistma värvide keelt.",õpetama,mõistma,mõistma,gümn,", kuidas Jaapanis õpetatakse mõistma"
27794,Mis sind nii vara hommikul helistama sundis?,sundima,helistama,helistama,gümn,Mis sind vara hommikul helistama sundis ?
27892,"Pariis saab talle varsti nii omaseks, et siit lahkuma sunnib teda ainult sõda.",sundima,lahkuma,lahkuma,gümn,", et lahkuma sunnib teda sõda"
27982,"Mina näen oma rolli täpselt ja selgelt: julgustada võru keeli kõnelema, oma loomuse järgi elama.",julgustama,kõnelema,kõnelema,gümn,: julgustada kõnelema elama
28183,Julgustage teisi endast kõnelema.,julgustama,kõnelema,kõnelema,gümn,Julgustage teisi kõnelema .
28351,"Mind paneb imestama, kui sageli noored vahetavad elukutseid ja ameteid.",panema,imestama,imestama,gümn,Mind paneb imestama vahetavad .
29055,Panen käima Interneti-programmi.,panema,käima,käima,gümn,Panen käima .
29106,Kas pankade reklaamitavad laenuvõimalused meelitavad inimesi rohkem ostma?,meelitama,ostma,ostma,gümn,Kas laenuvõimalused meelitavad inimesi ostma ?
29155,"Teenuse müüja on kohustatud andma tellijale kviitungi, arve või mõne muu dokumendi.",kohustama,andma,andma,gümn,müüja on kohustatud andma .
29363,Amfiteatri laadis kujundatud aeda plaanib perenaine panna kasvama ilutaimi.,panema,kasvama,kasvama,gümn,panna kasvama
29483,Loomakaitseseadus kohustab loomaomanikku tagama haigele või vigastatud loomale õige ravi.,kohustama,tagama,tagama,gümn,Loomakaitseseadus kohustab loomaomanikku tagama .
29536,"Mõnikord väljendub inimese arusaam humaansusest ka selles, et soovimatu pesakond lihtsalt toimetatakse kastiga mõne maja trepikotta, varjupaika või metsa, selle asemel et viia nad loomaarsti juurde ja lasta magama panna.",panema,magama,magama,gümn,magama panna
29543,"Tõuaretuses valitakse väga hoolikalt nii emast kui ka isast looma, keda omavahel paaritatakse.",valima,looma,looma,gümn,Tõuaretuses valitakse hoolikalt emast looma .
29550,"Nii nagu mujal maades kombeks, sõlmib varjupaik looma võtnud inimesega lepingu, et hoida looma edasisel käekäigul silm peal.",võtma,looma,looma,gümn,looma võtnud inimesega lepingu hoida
29562,Kas te võtaksite endale looma varjupaigast?,võtma,looma,looma,gümn,Kas te võtaksite looma ?
29564,"Mida te teete, kui olete võtnud endale looma varjupaigast?",võtma,looma,looma,gümn,", kui olete võtnud looma"
29759,Vanemad sunnivad mind hoidma nooremat õde.,sundima,hoidma,hoidma,gümn,sunnivad hoidma õde .
29805,Maailm tahab noort inimest vormida reeglitele alluma.,tahtma,alluma,alluma,gümn,Maailm tahab inimest vormida alluma .
29865,"Perekond õpetab hoolima teistest inimestest, vastutab ühiselt, õpetab vahet tegema õige ja vale käitumise vahel, peab kinni peretraditsioonidest, veedab koos vaba aega, püüab koos pereprobleeme lahendada.",õpetama,hoolima,hoolima,gümn,Perekond õpetab hoolima vastutab õpetab peab veedab püüab .
29865,"Perekond õpetab hoolima teistest inimestest, vastutab ühiselt, õpetab vahet tegema õige ja vale käitumise vahel, peab kinni peretraditsioonidest, veedab koos vaba aega, püüab koos pereprobleeme lahendada.",õpetama,tegema,tegema,gümn,", õpetab vahet tegema"
29878,Kuidas ta tänapäeval hakkama saab?,saama,hakkama,hakkama,gümn,Kuidas ta tänapäeval hakkama saab ?
29902,"Olen väga uhke, et saan hakkama.",saama,hakkama,hakkama,gümn,", et saan hakkama"
29977,"Sel päeval soovitatakse ümbritseda isa erilise tähelepanuga: viia talle kohvi ja saiakesi voodisse, võtta midagi kogu perega üheskoos ette, kutsuda isa välja sööma ja kinkida midagi armsat.",kutsuma,sööma,sööma,gümn,", kutsuda isa sööma"
30237,Panen vaikselt mängima oma lemmikmuusika.,panema,mängima,mängima,gümn,Panen vaikselt mängima .
30404,"Omal käel välismaale õppima asujad peavad ise otsima sobiva ülikooli, vormistama dokumendid, muretsema elukoha.",otsima,õppima,õppima,gümn,õppima asujad peavad ise otsima ülikooli vormistama muretsema .
30408,"Välisriigist õppima tulijaid võetakse vastu kas otse ülikooli, suursaatkonna, kultuurikeskuse või sihtmaa haridusministeeriumi kaudu.",võtma,õppima,õppima,gümn,õppima tulijaid võetakse vastu ülikooli .
30498,Mõnikord sunnib tööle minema ka majanduslik olukord.,sundima,minema,minema,gümn,Mõnikord sunnib minema olukord .
30525,"Mida peaks tegema, et motiveerida noori omandama kutseharidust?",motiveerima,omandama,omandama,gümn,", et motiveerida omandama"
30575,"Kaaslasteks tuleb valida inimesed, kes tegutsema innustavad.",innustama,tegutsema,tegutsema,gümn,", kes tegutsema innustavad"
30656,See sunnib meid aktiivsemalt tegelema oma elu ja karjääri planeerimisega.,sundima,tegelema,tegelema,gümn,See sunnib tegelema .
30804,Mis sunniks tänapäeva naist karjäärist loobuma ja pühenduma perele?,sundima,loobuma,loobuma,gümn,Mis sunniks loobuma pühenduma ?
30841,"Hea sekretär oskab oma mõtteid õigesti serveerida ja ideid realiseerida, kuid vajaduse korral peab suutma ka end maksma panna.",panema,maksma,maksma,gümn,ka end maksma panna
31554,"Tervis huvitab ja puudutab meid kõiki, kohustades tegelema nii teadmiste hankimise kui ka nende praktilise kasutamisega.",kohustama,tegelema,tegelema,gümn,", kohustades tegelema"
31716,Kas söömine paneb teid end süüdlasena tundma?,panema,tundma,tundma,gümn,Kas söömine paneb teid tundma ?
31974,"Nagu ma aru saan, kutsud sa mind tervisespordiga tegelema.",kutsuma,tegelema,tegelema,gümn,saan kutsud sa mind tegelema .
31998,Jätan õhtusöögi söömata.,jätma,sööma,söömata,gümn,Jätan õhtusöögi söömata .
32017,"Elu õpetas teda märkama, et maailmas leidub ka omakasupüüdmatut headust.",õpetama,märkama,märkama,gümn,Elu õpetas märkama .
32064,"Eesti on ühinenud Euroopa sotsiaalkindlustuskoodeksiga, mis kohustab tagama, et keskmine pension ei ole madalam kui 40% palgast.",kohustama,tagama,tagama,gümn,", mis kohustab tagama"
32089,"Neid ei pane muretsema tulevik, töökoha pikaajaline kaotus, laste koolitamine, tervise eest hoolitsemine või toimetulek pensionipõlves.",panema,muretsema,muretsema,gümn,ei pane muretsema .
32179,Ülejäänu paneb ta uut raha teenima.,panema,teenima,teenima,gümn,Ülejäänu paneb ta teenima .
32277,"Arvasin, et saan hakkama.",saama,hakkama,hakkama,gümn,", et saan hakkama"
32306,"Nähtavale kohale paigaldatud signalisatsioon või sellekohane kleebis sunnib sissetungijat põhjalikult kaaluma, kas on mõtet edasi tegutseda.",sundima,kaaluma,kaaluma,gümn,signalisatsioon sunnib kaaluma .
32497,"Kas see on normaalne perepuhkus, kui me jätame lapse mängutuppa mängima?",jätma,mängima,mängima,gümn,", kui me jätame mängima"
32701,"Esimeses peavad osalejad talvises metsas hakkama saama minimaalse toiduvaruga (500 kcal päevas), teises faasis tuleb otsida suvisest metsast toitu ja kolmandas korraldatakse ekstreemseid treeninguid, nagu püssilaskmine ja langevarjuhüpped.",saama,hakkama,hakkama,gümn,Esimeses peavad osalejad hakkama saama toiduvaruga tuleb .
32715,Lisaks hakkavad varbad üha märjemaks ja märjemaks saama.,saama,märjema,märjemaks,gümn,ja märjemaks saama
32917,"Nad veenavad ka Carmenit sellest osa võtma, kuid seekord Carmen keeldub, sest ta on teada saanud, et täna vabaneb arestist José, kes kandis karistust Carmeni vabastamise eest.",veenma,võtma,võtma,gümn,Nad veenavad Carmenit võtma keeldub .
