verb	total
köitma	8
ööbima	28
tutvustama	34
omandama	27
paiknema	13
purustama	3
broneerima	10
rentima	3
mööduma	40
moodustama	55
eksponeerima	4
tallima	1
maitsma	17
koolitama	4
eksima	26
veenduma	11
märgista=tud	1
laenutama	4
kahtlema	16
säilima	14
külva=tud	2
ulatuma	10
pügama	1
kujunema	31
kogunema	17
ahmima	3
ihkama	5
särama	2
sumisema	1
eemalduma	7
loobuma	24
ette_juhtuma	1
korduma	5
viitsima	19
pühendama	8
esinema	95
tibutama	1
virvendama	2
esitlema	8
esindama	15
illustreerima	4
manipuleerima	2
ahistama	2
argumenteerima	1
reklaamima	10
kirjeldama	40
piisama	26
domineerima	8
kõlama	13
taks	1
asutama	12
vigastama	6
häirima	17
vestlema	16
osutama	1
tippima	2
rahasta=tud	1
vormistama	8
tapma	9
seletama	22
vaevama	4
valutama	81
toimima	13
transportima	1
saabuma	34
õitsema	15
vedama	38
likvideerima	5
karistama	16
urgitsema	2
valmistuma	24
lõõgastuma	10
kõndima	42
takistama	9
eba_õnnestuma	5
tarbima	14
piirama	18
pidurdama	7
sundima	29
nälgima	2
innustama	6
langetama	10
kustutama	16
rajama	13
haarama	8
talletama	1
varustama	5
kontrollima	43
vahtima	3
vajuma	10
vaikima	4
seedima	2
sisalduma	1
tulenema	3
oksendama	3
haigestuma	8
lühenema	2
halvenema	7
koormama	2
tajuma	9
sagenema	2
vastsündima	1
kahanema	2
püsima	11
rändama	15
täideminema	1
hoiduma	6
kiirendama	3
kurnama	2
põhjustama	17
kaasnema	9
hulkuma	5
marssima	3
naerma	49
ärritama	5
nagerema	1
naersima	1
kõverama	1
tugevnema	2
võrdlev	1
suurendama	28
hingama	16
puhastuma	1
võitlema	14
vallanduma	2
kaitsma	27
ära	1
abi_elluma	20
muikama	1
vabisema	1
vilksatama	1
kulgema	5
igatsema	7
hakkima	4
nürima	1
ravima	19
riiv	2
kaasa_sündinud	2
naljatama	1
sarnanema	7
juurutama	1
väärtustama	6
sunnitama	1
harjutama	33
hooldama	2
õigustama	2
heitma	24
mingema	1
tunnetama	5
läkkima	2
kükitama	3
kahvatu	1
süütma	4
soetama	3
investeerima	4
küündima	2
peegelduma	2
koondama	3
mõõtma	18
alahindama	1
kaasama	2
ala_hindama	1
korrastama	6
nurisema	1
rahustama	8
üllama	4
näppima	2
kandideerima	7
keerama	27
kavatsema	48
spekuleerima	2
lagema	1
vahendama	5
vahatama	1
kiirustama	14
rõõmustama	22
ületama	11
remontima	9
kihutama	11
kohustama	5
üllatuma	8
salvestama	11
levitama	4
omama	7
anduma	1
uuenda=nud	1
paiskama	3
võltsima	1
keelduma	8
kubisema	1
konstrueerima	2
määrdunud	1
kruvima	1
järelduma	2
suunama	16
pakutav	1
matma	6
tõstatama	1
kuvama	1
timmima	1
kohtlema	7
näima	8
jaksama	7
vastutama	14
reguleerima	4
toimuv	3
peatama	4
toetama	23
haldama	2
jaotama	13
kindlustama	9
koordineerima	2
kehtestama	8
koosta=tud	2
tuginema	3
kahjustama	15
üldistama	1
viitama	9
kajastuma	2
refereerima	2
tsiteerima	2
nummerdama	2
toituma	18
kütma	10
finantseerima	1
eelnev	2
riisuma	2
vältima	44
fikseerima	3
arvustama	1
juurdlema	2
järeldama	2
jaotuma	1
teostama	3
täiendama	12
koonduma	5
juhatama	18
jagunema	6
spetsialiseeruma	1
jõustuma	1
märkima	18
loetlema	1
tupma	1
süüdistama	6
viskama	67
eirama	2
püüdlema	4
raiuma	7
eritama	2
summutama	1
üritama	21
ääristama	1
rikastama	1
tootma	14
lõhkuma	21
möllama	1
kaunistama	16
sirguma	1
peituma	7
ammutama	1
oletama	6
raatsima	1
pooldama	1
hukkuma	9
ehtima	13
levima	23
sõnastama	5
säästma	20
üle_jäänud	1
tingima	9
nappima	5
pehmendama	3
keelama	26
hõlmama	6
pesitsema	2
käsitlema	7
toetuma	5
reastama	1
organiseerima	4
olenema	21
arm	1
lennutama	8
soodustama	10
röövima	5
piiluma	5
vaatlema	8
sammuma	2
rebima	5
kiruma	1
tormama	3
ronima	32
pooma	1
kõnelema	13
taipama	10
hõigama	1
võima	6
uppuma	5
kajama	2
õnnistama	1
lahutama	10
lausuma	2
laskuma	5
ristima	3
täpsustama	3
hõivama	4
jaguma	4
hõivatuma	1
limiteerima	1
meelestama	2
pabistama	7
soojendama	12
kaebama	11
nutma	24
tdeaalema	1
avalduma	3
mahkuma	1
abielluma	1
risti=tud	1
kujutlema	3
lõbutsema	6
kaasa_kiskuma	1
vihkama	7
käiksima	4
lavastama	10
etendama	4
paeluma	7
ühti	1
täheldama	1
keskenduma	18
motiveerima	4
päevituma	1
sünnitama	3
pettuma	7
peegeldama	2
seonduma	1
samastama	1
korvama	3
välistama	5
tõdema	2
ehmatav	1
kasvatama	37
lõõgama	4
passima	1
maalima	14
musitseerima	3
stažeerima	1
tõrjuma	5
rügama	1
rallima	1
kiskuma	2
harrastama	23
niitama	1
liialdama	4
arutama	28
tilkuma	3
vt	2
õhkuma	1
nuputama	3
rahulduma	2
peatuma	23
portreteerima	1
sümboliseerima	4
riskeerima	1
kiirenema	1
nikerdama	1
vabastama	7
põgenema	17
siirduma	1
võrduma	1
palvetama	1
pihtima	1
laulatama	1
kummardama	1
vanduma	2
valetama	22
tänama	16
põlgama	3
varastama	8
peksma	10
juhinduma	2
aktseptima	1
kiusama	18
häbenema	7
täienema	1
hukka_mõistma	1
hukutama	1
huvitav	14
avardama	3
ebasobima	1
vihjama	1
sorima	1
tõlgendama	3
kontsentreeruma	2
otsitama	1
tarvitama	13
maitsema	67
aeglustama	2
raiskama	10
järjestama	2
kommenteerima	14
analüüs	1
ohverdama	2
andestama	7
poolitama	1
lihtsustama	3
veenma	7
käivitama	3
katsutama	1
lähenema	9
komplitseeritud	1
julgustama	6
talu	6
ilmutama	3
seosma	2
seostama	3
hind	2
trükkima	10
jalgtama	6
joonnima	4
õpima	7
lolema	3
laudlama	4
kIngima	8
kingima	6
suöma	6
kutma	3
manama	3
oltma	3
pedema	1
suguma	7
käivama	6
sõiduma	13
oltama	4
jaGama	2
süadma	1
lähema	23
sulama	8
hupama	1
puhkuma	4
ridutama	1
kupsetama	3
tõama	8
vaatlama	2
maugima	3
lähkema	3
viskima	7
VII	1
ärkuma	4
saanuma	1
olguma	3
annama	2
nutama	1
läkkuma	1
hüppama	40
laudama	1
iStuma	1
lähme	10
vaadma	1
käiguma	3
kaRdama	1
nädema	1
käisima	1
vaatAma	1
kelgutama	16
uinutama	3
kelgitama	1
päevitama	13
suusma	1
tugetama	2
sõidma	1
keedama	1
õpivama	1
õlklema	1
vaatma	1
printima	6
ostuma	5
kuuma	2
väsivama	1
kohuma	2
nÄgema	4
loema	10
ronidama	1
maitse	17
värv	2
puhuma	29
pühkima	18
sosistama	8
liigutama	17
meisterdama	20
uisutama	13
joo	1
kooma	1
kuduma	7
komistama	5
lohutama	15
puistama	4
musitama	1
tükeldama	2
kammima	4
plaksutama	3
kink	1
meistera	2
pulkama	1
rulluisutama	6
veejetama	1
vabandama	42
kostma	5
pikutama	2
kuivatama	9
lobima	4
laenama	13
vannitama	1
tuletama	13
kaklema	3
silitama	6
voltima	12
hauguma	3
voldima	5
imestunud	3
sirutama	6
raputama	4
liiklema	5
noogutama	4
lehvitama	6
turdma	1
ohkama	1
kaama	5
jätama	1
tõudma	1
kuivama	10
õpi	1
pedkema	1
avaldatud	1
äratama	21
lõhnama	4
turnima	1
telkima	8
norskama	2
naeratama	14
liimima	1
nimi	2
liiguma	6
tolkima	1
kõdistama	2
trügima	10
pritsima	3
korrutama	8
köhima	2
köhkima	6
hiline	1
Anti	7
tahama	6
saadma	1
programmeerima	4
kleebima	4
käskima	5
pakkima	9
tülitsema	9
teisi_päevima	1
püksata	1
analüüsima	10
õpitama	3
kurvastama	8
tuiskama	4
naerama	3
proov	8
rahunema	11
torkima	3
sagima	1
torma	2
ründama	7
hammustama	8
kriimustama	3
väänama	3
pakk	5
värisema	10
järelema	3
venima	4
filmima	7
väsitama	7
tundu=nud	3
tunneksima	1
näudma	3
sikutama	2
liputama	1
naeratav	1
haukuma	2
sügama	1
triikima	12
kastma	13
toimetama	12
urisema	1
kaevama	5
hiilima	6
rohima	4
sõidutama	1
aevastama	1
õmblema	6
praksuma	1
valvama	7
vihisema	1
talv	1
kisama	2
kallutama	4
seiklema	4
pühenduma	4
räppima	1
plaanima	5
haigutama	2
loosima	3
disa_inima	3
tänan	20
tikkima	2
kand	4
võpatama	2
kiljatama	1
sahisema	1
köhatama	1
oodatud	3
pigistama	4
käsima	4
õnnitlema	23
nõrgenema	1
lakkama	1
vaibuma	1
määrima	5
kurtma	3
laiendama	5
liudlema	1
kinnituma	1
rääksma	1
kirjuta+ge+-kirjutam	1
kipitama	4
toppima	3
tee	1
punktima	1
külmuma	4
jutuvama	3
riieldama	1
vinnama	1
peesitama	1
sööt	4
ahjuma	1
maitsestama	1
takerduma	1
vantsima	1
lamama	6
veedma	2
tiivutama	1
süttima	3
grillima	7
suusama	1
klõpsama	1
laadma	1
valideerima	5
väli	2
tulgema	1
tegenima	1
lähtkima	3
A. ootama	1
loeksima	2
käiksma	3
uisuma	1
köhtima	1
kraadma	3
toitma	4
puurima	5
poleerima	1
koksima	4
imema	5
liidlema	1
hädaldama	1
närima	9
tlmima	1
tuupima	1
kergendama	5
vahet_pidamata	1
jahtuma	5
abistama	12
tuubma	1
kriipsutma	2
minkima	3
korrama	2
võimlema	5
muigama	4
hiilgama	2
sätendama	1
vuhisema	1
vilkuma	1
dikteerima	5
evakueeruma	1
huilgama	1
ehmuma	3
karjuma	14
ruttama	3
