verb	total
sulandama	5
trumpama	35
ambuma	8
keerustuma	4
jooksutama	21
kohastuma	15
määrduma	66
lollitama	42
materialiseeruma	11
mõnulema	54
klikkima	22
nudima	4
hägustuma	19
mõtiskelema	2
kontraheeruma	6
kasukkama	1
keikkima	1
soostuma	183
väitlema	29
naljatama	121
lansseerima	5
korrespondeerima	1
kergitama	346
sorima	93
sedeldama	2
kombineeruma	45
tantsima	758
seletuma	19
mühatama	79
helisema	328
ütsima	8
litereerima	2
luukama	11
mähkima	94
pahvatama	155
jobama	1
hölzernema	1
ahendama	19
amputeerima	22
sandistama	10
känguma	17
murduma	231
mürgitama	92
destrueerima	1
resigneeruma	11
manifesteerima	5
rappima	14
degradeerima	17
rahulduma	59
palataliseeruma	8
võõristama	18
najatuma	1
tirima	346
tõrvama	17
rehkendama	58
osanema	2
reastuma	10
taasilmuma	4
võrsuma	85
kollektsioneerima	17
rajoonima	3
immigreeruma	1
evakueerima	61
taasavama	29
taasavaldama	5
ahistama	102
kobrutama	19
õnnitlema	169
tülitsema	107
školima	1
meelestama	86
venestama	11
hädaldama	86
matma	629
tormama	830
hambuma	16
toppima	484
tüütama	154
kohama	157
muganduma	7
vehkima	292
põrutama	226
sallima	368
lõdvestuma	32
leevenduma	8
doteerima	32
kohendama	289
ideintifitseerima	1
sokeerima	1
radikaliseeruma	3
peatükkima	1
modustama	2
kreoliseerima	1
kanaliseerima	11
erastama	217
dehabitualiseerima	1
artikuleerima	10
redefineerima	1
protsessima	10
pööruma	3
näitlikustama	15
suvitama	73
palade-partsima	1
eenduma	7
mõranema	21
laveerima	29
trummeldama	34
seedima	62
kallistama	228
šokeerima	48
tankima	36
lokkama	31
liigituma	22
valdkond-orienteerima	1
vormindama	2
algväärtustama	3
paaritama	15
hüppama	1123
tatsuma	12
tõmblema	91
sütitama	27
kripeldama	45
jaguma	233
jõutama	5
inventariseerima	3
lämbuma	67
optimeeruma	1
unifitseerima	11
suukorvistama	2
moderniseeruma	7
vääratama	58
heastama	43
skitseerima	4
legitimeerima	23
tsenseerima	24
lisandama	2
sekundeerima	44
kollektiviseeruma	1
forsseerima	50
konsolideeruma	7
põletama	462
fotosünteesima	48
tehislikustama	1
imetlema	390
inkorporeerima	25
koloniseerima	31
viivitama	141
renoveerima	61
maitsma	288
lärmama	46
koristama	441
sõimama	253
imbuma	180
puhkama	746
riknema	39
lõksuma	8
roolima	41
tapsima	20
roiskuma	7
vallatlema	10
haavama	253
kallama	370
kurnama	124
küttima	68
erutama	173
karmistama	35
elatuma	84
võõranduma	20
kivistuma	36
looduma	2
haigutama	203
tsiviliseerima	62
hingestuma	2
paljanduma	7
tüpologiseerima	7
klaaruma	5
tõrkuma	126
paisutama	42
kollideeruma	2
nätuma	1
liialdama	116
rabama	285
edutama	27
vantsima	54
kolama	99
vaesustama	1
kulmineeruma	67
tammuma	98
taasiseseisvuma	47
killustuma	10
ilmestama	77
leebuma	48
plahvatama	241
tolereerima	2
A. olema	1
A. kiskuma	1
vangistama	64
U. hävitama	1
turustama	69
alatasustama	1
rohtuma	18
arhiveerima	10
restaureerima	41
murenema	32
läikima	239
suhtestuma	7
kuvanduma	1
tulvama	44
keppima	135
hukutama	32
sublimeerima	9
formuleeruma	2
eesõigustama	4
küllastama	27
hõljuma	254
taguma	376
ntegreerima	1
patentima	4
B. leidma	1
nurisema	153
implitseerima	4
intensiivistama	26
lugema-kirjutama	2
innustuma	36
taastuma	195
adopteerima	13
heitlema	79
maksimeerima	24
kõrvalduma	2
neutraliseeruma	7
kahekordistama	19
taasesitama	6
tapsustama	1
inspireerima	97
täima	15
külmutama	98
peibutama	71
K. alustama	1
omastama	90
litsentsima	3
üldistuma	14
relvitustama	3
kriminaliseerima	7
basima	2
taasühinema	4
määrima	359
aduma	107
broneerima	48
akumuleerima	13
lehitsema	159
saastama	52
ruttama	374
sikutama	188
tuudima	1
jändama	62
hellitama	146
tõttama	251
dekomponeeruma	1
pühkima	707
tituleerima	57
õnnistama	191
sodima	29
elutsema	40
installeeruma	1
kolistama	88
teenus-orienteerima	1
sulatama	130
ortogonaliseerima	1
detailiseerima	5
harmoneerima	5
teleportima	9
väntama	105
kuumutama	57
viigistama	92
retsenseerima	8
rivistama	36
minkima	11
ületähtsustama	17
focuma	1
abstraheerima	12
looderdama	5
privilegeerima	22
rafineerima	23
geometriseerima	1
vilklema	1
ülendama	71
grupeeruma	8
hõiskama	148
jakkuma	1
keerutama	362
hämama	11
stagneeruma	4
upitama	146
punguma	7
ndatima	1
aasama	2
normaliseeruma	40
muunduma	41
modifitseeruma	12
küllastuma	38
käänata-pöörama	1
muuta-täiendama	1
naima	23
gemineeruma	1
aatlema	1
vangerdama	8
kondama	27
ikuma	1
iitima	1
aplama	5
käänduma	23
umbama	1
silbituma	4
Microlinkima	1
sorkima	16
avitama	52
ilustama	40
ergastuma	5
taaskastuma	1
marssima	274
päädima	28
karmistuma	13
moonutuma	2
hakatama	28
trikitsema	1
poolitama	30
kruntima	5
suumima	1
debüteerima	26
aktiviseerima	25
trotsima	63
kammima	155
piiskama	59
kaaperdama	15
Unix-laskma	1
torkima	119
torisema	94
taastõdema	1
lülima	12
vihisema	65
ristlema	5
ihkama	240
lappima	64
maitsestuma	2
pehmenema	8
marineerima	25
etsima	4
laabuma	60
kommunitseeruma	1
tagurdama	31
näitamaks-ehmatama	1
vanandama	2
lahutuma	10
ioniseerima	8
graveerima	19
alistama	512
rüüstama	57
õitsema	274
kastma	212
ukerdama	64
kalpsama	22
kuivama	420
sirutuma	65
jahtima	123
kõmpima	58
tsirkuleerima	16
trellitama	14
müütama	16
pügama	94
turnima	57
majandama	88
uitama	81
vilgutama	16
ööbima	221
trahvima	81
kõrguma	133
oltuma	1
voltima	41
õilistama	29
nüüdisajastama	2
tiivustama	18
ennistama	25
emigreeruma	31
oponeerima	35
loopima	258
kärvama	32
lakkuma	155
nollima	1
J. kallama	1
E. kallama	1
lõunatama	21
piinlema	76
majutama	54
hooplema	51
kloonima	50
B. sööma	1
kõrvutades-vastandama	1
kahestuma	11
näitlema	51
dialogiseerima	2
migreerima	2
dramatiseerima	23
objektiveeruma	1
kammitsema	29
selgitavad-kommenteerima	1
dekoreerima	19
hõikama	421
ekraniseerima	7
nüansseerima	4
redutseeruma	10
uhtuma	76
lokaliseeruma	28
kontakteeruma	31
kasutattama	1
võõritama	2
koketeerima	13
lisandu-minema	1
hälbima	22
suupärastama	1
verbaliseerima	10
semantiseerima	1
stiliseerima	8
needma	209
deklameerima	31
moonduma	81
liigenduma	4
tendeerima	2
õilistuma	5
puhastuma	16
võimutsema	36
jaatama	52
solidariseeruma	1
demaskeerima	1
profaneerima	3
pilkama	93
parodeerima	24
õõnestama	73
automatiseeruma	2
hõlvama	7
liberaliseeruma	1
deformeerima	14
hüperboliseerima	4
teatraliseeruma	2
corrima	2
viksima	21
serveerima	125
reteatraliseerima	1
sarnastama	3
irriteerima	7
raputama	799
esietenduma	126
vaadata-kuulama	4
seondama	9
taganema	318
võõrandama	64
vastustama	11
trampima	88
häälduma	15
kraamima	56
õmblema	212
keskmistama	4
vaesestuma	1
kohutama	68
steriliseerima	14
migreeruma	6
neelduma	29
koaguleeruma	1
aurama	82
soojenema	84
taaskiirguma	1
filtreeruma	4
erodeerima	1
väetama	122
sadestuma	25
lagundama	50
nõrguma	42
absorbeerima	7
muldama	10
eritama	111
oksüdeeruma	18
viljuma	8
laastama	44
niitma	166
tõhustuma	4
uhama	40
tassima	307
nälgima	73
hüdrolüüsima	18
liiklema	30
küdema	76
antimoniidima	1
niisutama	65
soolduma	4
reostuma	12
paiskuma	202
jahenema	18
jahtuma	153
kondenseeruma	16
aurustuma	21
lenduma	66
söövitama	10
adsorbeeruma	1
immutama	25
kuivatama	235
oksüdeerima	22
kahjustuma	78
vahutama	40
doseerima	21
A. kaitsma	1
ekraneerima	2
sadenema	3
sadestama	5
klooritama	2
aereerima	2
komposteerima	17
väänama	162
digiallkirjastama	4
punuma	117
löö-ja-laulma	1
pkorrutama	1
litsentseerima	18
lugemis-salvestuma	1
signaliseerima	12
skaleerima	3
klõpsutama	42
ütelda-näitama	1
välgatama	76
kubisema	59
virutama	417
pukseerima	8
kuulata-vaatama	2
ergama	12
rõkkama	52
hulkuma	202
õõtsuma	80
krimpsutama	52
ekslema	83
kõlksutama	8
mitmekordistama	9
aktiviseeruma	34
realiseerunud-rakenduma	1
menetlema	47
salakirjastama	1
autoriseerima	9
subskribeerima	1
sugema	27
vassima	23
kritseldama	40
räägi-rääkima	3
konsolideerima	34
internetiseerima	1
faksima	13
terendama	50
prioriseerima	2
implementeerima	3
taastekkima	7
kiikama	130
korreleerima	6
varundama	2
annulleerima	5
rookima	56
hammustama	274
ekstrapoleerima	6
kaubastuma	3
globaliseerima	3
standardiseeruma	4
idanema	82
Learnloopima	1
nühkima	124
kihutama	708
hindama-planeerima	1
tomima	1
Q. tulema	1
kollabseeruma	1
lõksustama	1
ergastama	13
pendeldama	31
kollabeeruma	5
dateerima	35
kiiritama	31
konfiskeerima	99
identima	1
projitseeruma	2
laagerdama	10
amortiseeruma	21
osatakse-õpetama	1
kõverdama	25
vurama	53
ehitatama	1
peitsima	29
korrigeeritud-täiendama	1
piloteerima	4
Interneti-ühenduma	4
hullutama	27
lõhnama	341
soonima	12
metsistuma	28
lainetama	95
uuristama	84
tüdima	97
manustama	136
lakkima	35
laaduma	3
sponsordama	1
harjama	14
lugeda-salvestama	1
hoogustama	18
avatud-sulgema	6
ägenema	32
kroonima	100
klikkama	4
kerjama	61
jootma	73
riidlema	54
püherdama	44
tuhmuma	86
inisema	34
haakima	60
komiseeruma	1
sõitlema	11
keelitama	58
läkitama	135
pilastama	9
tunnuksema	2
pillutama	29
lonkama	109
onama	4
sõtkuma	58
närtsitama	5
vabisema	38
vaaruma	39
haukuma	174
ihuma	48
mõõnama	4
nülgima	33
keema	209
riisuma	57
turtsuma	37
aimuma	29
talitsema	39
määgima	10
ehituma	20
vaakuma	14
sülitama	301
taaspidama	1
vaigistama	65
pannema	3
pöörnuma	3
mötlema	4
himmustama	1
salvama	40
himustama	50
kaswatama	1
tämama	1
värsistama	4
herrima	1
õhkuma	127
kohmerdama	5
porcuma	1
studeerima	25
desorienteerima	3
hulluma	62
öiguma	1
willima	1
ollema	17
vinduma	18
soolama	25
vihtuma	18
laksuma	10
rudjuma	3
punnima	47
arhiivima	12
wannandama	1
üllendama	2
murretsema	1
nakkama	11
mässama	98
minnema	3
kiusatama	1
üllema	4
häwima	1
wõttama	1
põikuma	1
kumuleerima	2
pärnema	1
poetama	287
patustama	30
lutsima	31
paljundama	67
õhenema	3
J. saama	1
tõrelema	29
tõstuma	1
loodetama	1
vigastama	504
lipitud-lappima	4
kadestama	117
tõlgitud-kopeerima	1
satutama	1
kündma	115
oksendama	102
oigama	175
ohkama	812
olima	38
jamama	43
ribuma	1
lebama	441
roostetama	50
piinama	273
nuumama	24
ägama	82
surmama	57
pääsima	3
karastuma	22
pekslema	21
umbusaldama	24
haihtuma	127
utreerima	10
kiduma	12
kelkima	26
kirendama	15
pisendama	11
tunnuma	3
ottama	1
stonema	2
laotuma	65
vahtima	1198
rappuma	81
taaselustuma	7
taasalustama	7
tradeerima	1
kujutelema	10
liuglema	81
angažeerima	3
kataloogima	5
ostutama	1
kontseptualiseerima	5
turgutama	62
definineerima	1
aktiveeruma	24
ihaldama	133
kajama	112
fantaseerima	55
rahulolematusseostuma	1
väärtustatama	1
imetama	14
rasestuma	31
liginema	54
sümpatiseerima	17
lõhenema	44
pihustama	16
viirutama	5
liigestama	1
sotsialiseeruma	3
marginaliseeruma	4
raamistuma	1
narrima	55
kamandama	185
kägistama	54
lepitama	60
kääksutama	6
konspekteerima	6
loksuma	123
inimlikustama	3
häbistama	36
kihistuma	6
lõbustama	103
mobiliseeruma	2
pehmendama	39
kaubastama	7
vägistama	146
sakraliseerima	2
konvergeeruma	6
haigestuma	383
saagima	128
pilduma	156
kiinduma	50
arhaiseerima	1
kindlustuma	26
peenendama	5
autoreprodutseeruma	4
assimileerima	10
regenereeruma	4
oimuma	1
ontoimuma	1
pranglima	2
külmama	8
müürima	17
ruunama	4
salvima	5
võlvima	4
aerutama	15
kitkuma	43
hammastama	2
aasima	35
ohtuma	1
ehama	1
punama	7
hõõguma	98
porisema	71
võsuma	1
vaguma	1
kirjendama	3
sulundama	6
kaabitsema	5
roobitsema	9
kaapima	63
sülgama	45
tuulama	17
padjandama	1
polsterdama	9
sarnastuma	3
purjetama	63
hoovama	67
hõngama	10
tolmama	25
laimama	28
luiskama	57
oimama	3
tossama	31
kongitsema	1
vahelduspiirduma	1
suitsuma	15
hagema	10
lupjuma	1
näppama	44
näperdama	34
aborteerima	2
alarmeerima	11
asfalteerima	22
barrikadeerima	4
duelleerima	3
maketeerima	1
ornamenteerima	2
lõhnastama	22
sondeerima	12
amnesteerima	5
debateerima	3
hüpnotiseerima	22
neimama	13
selvima	1
uhmama	4
häilima	4
kottima	9
lobisema	259
jahvatama	102
kortsima	1
nõeluma	22
käperdama	21
klanima	9
palmitsema	2
valuma	51
valendama	29
rokkima	12
folkima	1
fännima	3
kiipima	1
naljastreikima	1
galoppima	2
konversioonkasutama	1
pajatama	198
astima	1
rehckima	1
pörgkuma	1
auwustama	2
sahmama	4
tullema	6
allandama	1
uputama	119
punetama	83
punastama	218
röstima	15
kõrbema	76
kakama	9
vaibuma	194
virgutama	12
pleekima	43
hüübima	12
külmetama	115
jäätuma	44
soenema	1
soendama	11
instrueerima	14
muhelema	171
talletuma	14
tukastama	39
kivinema	22
vaheldama	3
kratsima	66
sügama	129
purssima	21
kahmama	94
kraapama	6
kottuma	1
laksutama	39
lõksutama	9
plaksuma	23
plauguma	1
lõugutama	2
kolguma	1
kolgotama	1
mudima	72
lähnuma	1
tolgotama	1
võtima	1
ikkima	4
vanduma	365
mugatsema	1
kosima	40
tükkima	76
kihlama	21
kägisema	36
rögisema	14
rägisema	3
näägutama	19
paistetama	22
põlvitama	107
pidima	2
önnistuma	1
önnima	2
elustada-mõtestama	1
reguleeruma	5
periodiseerima	3
pissima	30
topelduma	2
tuhisema	44
kleinema	1
dandzima	1
dancima	1
elksnima	1
ulima	1
putrama	1
kärkima	24
noomima	131
ruskama	4
abluma	1
juurdlema	80
metsastuma	4
kahlama	37
mahutuma	1
sulpsatama	8
nikinakitsema	1
nikitsema	2
nakitsema	10
miilama	24
sumisema	66
kuumuma	3
pruunistama	12
pulbitsema	45
õhustama	8
õhustuma	2
õhkima	27
rebestama	27
värelema	71
ahmima	135
läppuma	11
läpatama	4
soperdama	3
tuulutama	46
heljuma	29
läpastama	1
maanduma	337
tiirutama	115
lauglema	10
põrisema	22
sähvima	41
sööstma	346
personifitseeruma	1
halastama	95
sõõrduma	10
nuuskama	52
ruugama	2
lõbima	1
käristama	61
mõistestama	1
painama	67
triivima	48
plaanitsema	42
mõlkuma	43
inventeerima	2
muserdama	30
näljutama	17
valutama	327
assimileeruma	6
oovima	2
närbuma	24
röhitsema	12
solvama	287
kaetama	15
hingestama	27
mädanema	91
kõmpsima	2
puurima	183
toibuma	139
pantima	32
aurustama	3
ioniseeruma	1
detekteerima	1
pretsesseerima	1
rebenema	80
settima	15
kristalliseeruma	20
kuumenema	25
magneetuma	2
subdueeruma	1
rammima	81
purskama	170
päiknema	1
kriimustama	34
peenestama	20
tsementeeruma	3
niumettama	1
tsementeerima	11
mineraliseerima	2
lamenema	4
peenestuma	1
looklema	64
kuivendama	7
mineraliseeruma	5
lamenduma	5
murrutama	2
kraapima	145
kummuma	22
kurduma	2
kudema	18
lõugama	46
laagerduma	9
holitsema	1
kurrutuma	1
munema	118
taaskiirgama	1
võnkuma	28
vonklema	27
loojuma	70
ankurdama	4
lahjendama	42
tõukuma	11
elektriseerima	3
eestistama	6
igatsema	407
akkama	51
annuma	24
talvituma	37
põlvnema	14
pussitama	35
unistab-tunnetama	1
laulatama	37
hukkama	127
nõiduma	63
fabritseerima	12
viisistama	5
pilama	22
kütkestama	23
palama	7
möirgama	88
äparduma	22
pakatama	43
mõnitama	127
enam-harima	1
leinama	81
paljastuma	37
iganema	18
mälestama	55
huilgama	57
manitsema	161
naljatlema	25
armuma	370
arstima	14
nurjuma	42
võrgutama	68
kangastuma	45
häbimärgistama	8
sõudma	90
alapealkirjastama	1
keerduma	26
linnastuma	19
veetlema	21
üleküllastama	2
bibliografeerima	3
emigreerima	8
traumeerima	10
lõbutsema	55
lohutama	447
emantsipeerima	10
emantsipeeruma	10
irvitama	339
ruineerima	14
viipama	297
kohisema	115
lohutuma	5
loitma	21
taltsutama	58
kirgastama	3
nikerdama	54
uinutama	33
tervistama	1
maabuma	36
kõdunema	30
suudlema	561
elatama	36
saabastama	1
vaimustuma	64
lüpsma	183
psühhologiseerima	2
sirutama	628
vaesestama	7
paaduma	30
taasleidma	10
kompromiteerima	32
allegoriseerima	2
magus-valuma	2
tuhastama	15
nuhtlema	45
kuldama	42
tuksuma	49
harduma	6
õhkama	133
kõmisema	36
S. levima	3
aidati-koolitama	1
möllama	124
kalgistama	1
kibestuma	34
liimima	33
vappuma	68
võõrastama	24
kirtsutama	40
tüdinema	95
nöökama	15
mehestuma	1
tembeldama	61
pareerima	60
sädelema	65
boikoteerima	28
kirgastuma	9
mitmekordistuma	8
olesklema	6
prassima	9
sõidutama	169
võrdväärtustama	1
ihalema	41
materdama	31
flirtima	44
taasväärtustama	1
kihluma	11
põetama	13
piitsutama	34
laostuma	10
võrdsustuma	28
rüvetama	29
türanniseerima	7
haletsema	48
lagastama	14
vadima	5
orjama	20
minestama	65
rõõmutsema	6
kurvatsema	1
H. normeerima	1
aksiomatiseerima	1
P . fikseerima	1
Q. tegema	1
memuaarima	1
faktoriseerima	1
kommuteeruma	1
jõustama	10
lootsima	121
tilkuma	195
surkima	14
rüütama	18
institutsionaliseerima	4
tihkama	58
paarituma	15
viljastama	31
indlema	8
printsiip-rääkima	1
kopuleeruma	4
kaitsesüstima	2
vaktsineerima	94
masendama	33
näidustama	76
parkima	162
kipitama	34
sügelema	69
heroiseerima	3
väärastuma	23
loosima	72
juubeldama	58
sepistama	22
rivistuma	33
kallinema	123
veristama	32
afišeerima	6
külmetuma	9
õlitama	24
kosuma	101
mühisema	34
santažeerima	2
tseremoonitsema	6
separeeruma	1
sörkima	51
seljatama	28
laksima	3
balsameerima	3
vangutama	228
rüüpama	366
ärandama	28
särisema	33
viskuma	164
paotama	64
lunima	54
jõllitama	152
käratama	262
teada-tundma	17
musitseerima	36
nihelema	71
ümisema	162
uudistama	102
vaata-matma	1
kimama	25
viseerima	8
võõrustama	62
mängitama	32
patsutama	171
servima	13
julgestama	7
kostitama	82
spurtima	43
sopsama	7
konutama	122
lamama	701
timmima	22
vedelema	428
nördima	59
praalima	43
liputama	54
bluffima	19
ajastama	40
smugeldama	12
mõrvama	80
piketeerima	12
koorima	177
klapitama	8
õngitsema	100
näkkama	19
ärima	20
pea-aeguma	1
pulseerima	17
higistama	110
vihtlema	29
diskrediteerima	17
sõittnuma	1
finisheerima	9
norima	111
mäkima	1
maiustama	31
kokkama	4
jonnima	30
filosofeerima	36
külastada-toetama	1
liisima	30
kainenema	33
amelema	19
virelema	44
kleepuma	74
lõõpima	49
tõsinema	49
päevitama	51
joonima	12
anima	5
urineerima	14
retsiteerima	7
konsumeerima	3
suikuma	26
kohmetuma	33
teotama	16
purema	66
vibutama	33
shokeerima	19
vohama	48
vägivallatsema	5
mätsima	22
tuurima	12
rahmeldama	20
märatsema	43
traalima	3
kaevuma	31
eelinstalleerima	1
suurendada-vähendama	1
veerima	35
miksima	20
vongerdama	1
tshekkama	2
tantsitama	14
otsa-koolma	1
likvideeruma	4
hauduma	95
üle-ujutama	1
lahenduma	8
rahustama	278
komandeerima	17
fimama	1
laotama	212
eskortima	10
müristama	65
sülelema	14
lömastama	40
streikima	60
hämmastuma	37
naelutama	56
kasseerima	51
lehvima	176
nikastama	5
seksima	77
pärgama	57
lintshima	3
logisema	26
desarmeerima	7
vannutama	37
klatshima	1
siunama	62
surgatama	1
munitsipaliseerima	6
atesteerima	6
hiilama	15
pasundama	30
fännama	6
hängima	8
tüssama	28
aplodeerima	31
vakatama	98
röökima	188
improviseerima	58
keksima	35
küürima	67
muljuma	80
vulkaniseerima	2
proijtseeruma	1
jorisema	22
urgitsema	60
loovima	55
ässitama	55
leegitsema	17
söestuma	31
põkkuma	5
tean-teadma	1
vitsutama	16
transpordi-sööda-jooda-riietama	1
triumfeerima	22
sosistama	897
ajatama	8
devalveerima	27
ropendama	56
deponeerima	8
kiristama	39
üles-töötama	1
tikkuma	107
laulma-trampima	1
ringutama	79
leierdama	11
soleerima	13
rocki-jämmima	1
etableeruma	2
maletama	17
viilima	34
šveitsima	2
raatsima	134
väristama	79
kärisema	56
teatud-tundma	1
kaanetama	7
harmoniseeruma	2
lauldud-looma	1
äritsema	17
lõrisema	24
nahutama	22
tumestama	14
jahmatama	65
armatsema	18
populariseerima	7
hõõruma	282
jultuma	34
mürtsuma	20
viibutama	82
tuhnima	89
klõbistama	47
hällima	4
ängistama	20
nosima	40
halama	27
masenduma	17
informeedima	1
tirazheerima	2
kooskõlastuma	4
dereguleerima	2
kusema	75
vankuma	80
pruntima	11
kloppima	115
kilkama	110
laristama	10
õilmitsema	20
harmoneeruma	21
suitsutama	27
maitsestama	51
suhkrustama	3
kaliibrima	1
kraapsama	5
lippama	149
vooderdama	24
pöörlesid-tiirlema	1
luuletama	153
tohterdama	22
kiljuma	74
kaikuma	48
barrikadeeruma	3
kehtestuma	7
hurjutama	57
mõikama	26
luhvtitama	2
tuntud-nähtuma	1
mõmisema	68
kutsustuma	1
restruktureerima	9
põrgatama	10
moondama	14
lahmima	18
võretama	5
riiki-olema	1
semmima	14
luhtama	13
vehklema	33
uhkeldama	55
madistama	18
võbelema	24
laperdama	44
riskeerima	29
väisama	32
ripnema	25
tätoveerima	26
erikonfiskeerima	1
manduma	25
mineerima	7
deporteerima	9
pädema	12
ulama	13
järg-minema	1
asjastama	7
naituma	6
vuhisema	51
luurama	103
einestama	35
linastuma	45
sähvama	45
libastuma	43
räntsatama	21
taasriigistama	2
spikerdama	15
ruumima	5
riigistama	9
räsima	71
paugatama	10
puksima	22
värvirõõm-saama	1
lõõskama	20
ketistama	1
alanduma	4
subsideerima	18
karglema	49
ääristama	40
tippima	45
taaskehtestama	10
nähvama	120
kohmama	56
norskama	64
praksuma	19
joovastuma	10
siginema	102
kolkima	34
nabima	45
köhima	113
raugema	49
krediteerima	5
randuma	76
kurseerima	9
žestikuleerima	14
klammerduma	117
nämmuma	2
raskenema	5
fetišeerima	3
partsima	14
põristama	21
jäigendama	1
ahhetama	61
nõjatuma	107
taaslavastama	1
dirigeerima	32
noolima	36
villima	27
harvendama	14
pilbastuma	1
troonima	38
närtsima	42
mäkerdama	11
võõpama	38
puuderdama	13
kangutama	92
hullama	50
sädistama	40
pritsima	221
pahisema	25
korisema	38
pirisema	11
jõrisema	11
pragama	21
gaasitama	2
Tšehhovi-laadima	1
ponnistama	19
remiksima	2
kahima	6
finišeerima	14
sahisema	56
põõnama	35
punnitama	28
käendama	7
kõõritama	40
kärutama	15
vibama	5
nuruma	36
koperdama	70
plõksuma	2
kõlkuma	61
pindama	6
puperdama	21
putitama	9
lekitama	14
arestima	26
galvaniseerima	3
aetama	2
hoonestama	6
lauluma	1
räppima	12
surisema	78
eksmatrikuleerima	19
paralüseerima	3
aimduma	19
parastama	50
pärisorjastama	2
augustama	11
lõkerdama	45
särtsuma	5
voogama	60
kupatama	47
vestma	65
huugama	39
vintsklema	4
pahvima	19
vasardama	26
kobestama	13
denomineerima	1
krohvima	17
süvistama	2
poseerima	61
pehkima	29
steppima	6
svingima	1
võimalduma	4
kirisema	3
ökonomeerima	1
tervenema	33
sepitsema	35
lällama	12
röögatama	123
rüsima	6
närveldama	5
puskama	5
usutlema	29
skandeerima	74
löpetama	2
mähkuma	25
trillima	1
sahmerdama	7
agiteerima	25
paukuma	52
ilkuma	31
karikeerima	4
kujustama	6
tunglema	47
habetuma	20
lükkima	22
trehvama	56
aklimatiseeruma	47
laiskuma	5
lalisema	13
tilgutama	28
kiratsema	26
vinguma	75
kahisema	62
ärastama	6
pögenema	1
sölmima	1
möistima	2
söitnuma	1
pöletama	1
vöimaldama	1
vöitima	1
hirnuma	50
logelema	17
irvima	11
patseerima	36
kalastama	10
grüünema	1
sebima	55
tatsama	66
müttama	33
hillitsema	13
õgvendama	11
nõrkuma	3
politiseerima	14
triikima	85
lajatama	82
parseldama	21
platseeruma	11
kuldfliidima	1
promoma	6
signaalitama	1
idealiseeruma	1
nukrutsema	22
lõdisema	71
võimlema	36
siplema	45
ladestama	3
nõelama	33
ostu-kesk-kondama	1
koukima	92
prõmmima	21
päevituma	41
hulpima	39
eelisarendama	1
majutuma	5
pedaalima	4
moshshima	2
laksatama	17
kuulatama	211
tormlema	8
lugeda-kuulma	2
üheülbastama	1
väänutama	9
paikama	29
repsima	3
soojustama	37
arrteerittima	1
kurameerima	24
keerates-väänama	1
korrodeeruma	4
lõhestuma	6
libistama	285
ikalduma	10
susisema	26
lõunastama	15
riivima	13
motoriseerima	5
paitama	80
siblima	39
ragistama	38
innoveerima	1
etenduma	13
külmenema	3
jõurama	5
koogutama	32
suplema	48
mustama	58
poputama	22
padistama	1
viilutama	12
plaksutama	121
süüa-jooma	7
diskvalifitseerima	24
nuiama	21
ladistama	15
vorpima	19
ordineerima	80
üles-tõstma	1
koonerdama	32
piiksatama	18
kiikuma	69
kugistama	57
kumisema	77
lõkendama	26
nekuma	1
kõlistama	37
vigastuma	7
maldama	31
tampima	46
terrori-rühmituma	1
seisatama	192
kaalutlema	48
kaasajastuma	2
kihama	58
kuristama	5
jupsima	11
koppima	8
ähkima	82
urisema	122
hiivama	25
pomisema	585
litsuma	92
läkastama	37
lõõtsutama	52
üürgama	49
resideeruma	4
vokkima	1
popitama	1
kibelema	59
tögama	22
iiveldama	33
on-on-olema	1
lõõmama	70
kvoteerima	1
haukama	30
kappama	46
mürama	9
kypsetama	1
paradeerima	1
kõmistama	22
kaarduma	45
boikottima	1
müksama	52
mugima	21
näpsama	13
omavolitsema	5
kakkuma	8
küsige-ärama	1
relvastuma	9
kärssama	20
lupjama	27
kolmekordistama	3
animeerima	19
koksama	30
manguma	33
üle-jääma	1
haljastama	11
tolgendama	17
sammalduma	20
õhtustama	27
näpistama	68
pabistama	76
geenmuundama	2
seetähendama	1
desinformeerima	1
lummama	59
veritsema	19
mahendama	21
purskuma	50
ventileerima	8
aelema	25
floresiensima	1
vegeteerima	11
põiklema	53
sibama	64
nähti-kuulma	1
tuuritama	9
kehutama	12
saalima	23
koltuma	21
venestuma	30
ebalema	22
ratsutama	129
tikkida-nõeluma	1
manööverdama	28
koksima	9
lustima	49
igavlema	37
kobistama	23
paristama	12
eelhääletama	1
või-maldama	2
jantima	7
kirjutades-maalides-lauldes-tantsima	1
hüplema	100
redutama	30
potsatama	43
kapituleeruma	10
ragisema	87
sasima	46
kriiksuma	17
prantsatama	82
vigurdama	11
nuuksuma	52
mögisema	11
muljetama	8
ohkima	22
raevuma	20
piidlema	74
praakima	50
vihastuma	18
korduvkasutama	1
sarjama	22
nirisema	55
desifintseerima	1
seltsima	14
räuskama	42
mekkima	36
dekonstrueerima	10
jorutama	24
ulguma	87
uhtma	33
desinfitseerima	22
soomustama	10
hävinema	14
šoppama	13
ostlema	1
paagetama	1
käskida-keelama	1
utsitama	17
teretama	82
tihkuma	32
olgu-olema	4
käisima	1
kapsama	1
klohmima	8
kössitama	31
luksuma	13
tahuma	24
vuristama	40
võpatama	393
kroomima	2
heegeldama	28
resideerima	10
lukkuma	2
vürtsitama	29
